Reading	Load	Travel	Time
1	0.14	1.74	0
2	0.16	1.74	0.141
3	0.16	1.76	0.192
4	0.2	1.84	0.241
5	0.28	1.94	0.291
6	0.28	1.98	0.341
7	0.34	2.04	0.391
8	0.38	2.1	0.441
9	0.42	2.18	0.491
10	0.5	2.26	0.541
11	0.56	2.32	0.591
12	0.64	2.38	0.641
13	0.7	2.46	0.691
14	0.74	2.5	0.741
15	0.78	2.58	0.791
16	0.82	2.64	0.842
17	0.92	2.76	0.892
18	0.92	2.78	0.942
19	0.98	2.84	0.991
20	1	2.92	1.041
21	1.04	2.96	1.091
22	1.12	3.08	1.141
23	1.12	3.12	1.192
24	1.14	3.16	1.241
25	1.16	3.24	1.291
26	1.18	3.32	1.341
27	1.22	3.36	1.391
28	1.28	3.46	1.441
29	1.28	3.5	1.492
30	1.3	3.58	1.541
31	1.34	3.64	1.591
32	1.38	3.7	1.641
33	1.4	3.78	1.691
34	1.42	3.86	1.741
35	1.42	3.9	1.791
36	1.4	3.98	1.841
37	1.4	4.06	1.891
38	1.42	4.1	1.941
39	1.42	4.18	1.991
40	1.42	4.26	2.041
41	1.44	4.3	2.091
42	1.46	4.38	2.141
43	1.46	4.44	2.192
44	1.5	4.56	2.245
45	1.52	4.58	2.292
46	1.52	4.64	2.341
47	1.54	4.72	2.391
48	1.54	4.76	2.441
49	1.54	4.84	2.492
50	1.54	4.92	2.541
51	1.52	4.96	2.591
52	1.52	5.04	2.641
53	1.5	5.1	2.691
54	1.48	5.18	2.741
55	1.48	5.24	2.791
56	1.46	5.3	2.841
57	1.46	5.38	2.891
58	1.44	5.42	2.941
59	1.42	5.5	2.991
60	1.42	5.58	3.042
61	1.4	5.66	3.091
62	1.38	5.78	3.191
63	1.36	5.86	3.241
64	1.34	5.98	3.341
65	1.3	6.04	3.391
66	1.3	6.12	3.442
67	1.3	6.18	3.491
68	1.26	6.24	3.541
69	1.26	6.32	3.592
70	1.24	6.36	3.641
71	1.22	6.44	3.691
72	1.2	6.52	3.741
73	1.2	6.56	3.792
74	1.14	6.74	3.892
75	1.12	6.78	3.941
76	1.1	6.84	3.991
77	1.1	6.9	4.041
78	1.08	6.98	4.092
79	1.08	7.02	4.141
80	1.06	7.1	4.191
81	1.06	7.18	4.241
82	1.04	7.22	4.291
83	1.04	7.3	4.341
84	1.04	7.38	4.391
85	1	7.48	4.443
86	1	7.5	4.491
87	0.98	7.58	4.541
88	0.98	7.64	4.591
89	0.94	7.72	4.641
90	0.92	7.78	4.691
91	0.9	7.84	4.742
92	0.88	7.92	4.791
93	0.86	7.96	4.841
94	0.84	8.04	4.891
95	0.82	8.12	4.941
96	0.8	8.16	4.991
97	0.78	8.24	5.041
98	0.76	8.32	5.091
99	0.74	8.38	5.141
100	0.7	8.5	5.197
101	0.68	8.52	5.241
102	0.68	8.58	5.291
103	0.66	8.66	5.342
104	0.64	8.7	5.391
105	0.6	8.78	5.441
106	0.58	8.82	5.491
107	0.54	8.96	5.591
108	0.52	9.04	5.641
109	0.48	9.1	5.691
110	0.48	9.16	5.741
111	0.44	9.24	5.791
112	0.42	9.32	5.841
113	0.4	9.38	5.891
114	0.38	9.44	5.941
115	0.34	9.52	5.991
116	0.32	9.56	6.042
117	0.28	9.64	6.091
118	0.26	9.72	6.141
119	0.22	9.76	6.191
120	0.18	9.84	6.241
121	0.14	9.94	6.291
122	0.12	9.98	6.341
123	0.1	10.04	6.391
124	0.04	10.12	6.441
125	0	10.18	6.491
126	0	10.26	6.542
127	0	10.32	6.591
128	0	10.38	6.641
129	0	10.46	6.692
130	0	10.5	6.741
131	0	10.58	6.791
132	0	10.64	6.841
133	0	10.7	6.892
134	0	10.78	6.941
135	0	10.84	6.991
136	0	10.92	7.042
137	0	10.98	7.091
138	0	11.04	7.141
139	0	11.12	7.192
140	0	11.16	7.241
141	0	11.24	7.292
142	0	11.32	7.342
143	0	11.36	7.391
144	0	11.44	7.441
145	0	11.5	7.492
146	0	11.58	7.541
147	0	11.64	7.591
148	0	11.7	7.641
149	0	11.78	7.691
150	0	11.86	7.741
151	0	11.9	7.791
152	0	11.98	7.841
153	0	12.06	7.891
154	0	12.1	7.941
155	0	12.18	7.991
156	0	12.26	8.041
157	0	12.3	8.091